brand,cpu_type,cpu_speed,max_cpu_speed,gpu_type,ram_type,ram,ram_speed,storage,screen_size,resolution,webcam,num_sd_slot,material,os,audio_tech,bluetooth_tech,wifi_tech,weight,thickness,width,length,released,has_lightning,has_thundebolt,has_touchscreen,has_fingerprint,has_camera_lock,has_180_degree,has_face_id,has_antiglare,new_warranty,used_warranty,used_price
Acer,pentium,1.1,3.33,Intel,DDR4,4,2400,512,14,1366 x 768,VGA,0,Nhựa,Windows,Stereo,5,Wi-Fi 5,1.45,19.9,236,328,2020,0,0,0,0,0,0,0,0,12,8.5,8030000
Acer,i3,2.2,3.4,Intel,DDR4,4,2400,256,15.6,1920 x 1080,VGA,0,Nhựa,Windows,Stereo,4.2,Wi-Fi 5,1.7,19.9,247.5,363.4,2019,0,0,0,0,0,0,0,0,12,3,8110000
Acer,i3,1.2,3.4,Intel,DDR4,8,2400,512,15.6,1920 x 1080,VGA,0,Nhựa,Windows,Stereo,4.2,Wi-Fi 5,1.7,19.9,247.5,363.4,2020,0,0,0,0,0,1,0,0,12,7,11330000
Acer,i5,1,3.6,Intel,DDR4,8,2400,512,15.6,1920 x 1080,VGA,0,Nhựa,Windows,Stereo,4.2,Wi-Fi 5,1.7,19.9,247.5,363.4,2020,0,0,0,0,0,1,0,0,12,9,13190000
Acer,i5,2.4,4.2,Intel,DDR4,8,,512,15.6,1920 x 1200,HD,0,Nhựa,Windows,Stereo,5,Wi-Fi 5,1.7,19.9,238.4,363.4,2021,0,0,0,0,0,0,0,0,12,9.5,14530000
Acer,i7,2.8,4.7,Intel,DDR4,8,,512,15.6,1920 x 1200,HD,0,Nhựa,Windows,Stereo,5,Wi-Fi 5,1.7,19.9,238.4,363.4,2021,0,0,0,0,0,0,0,0,12,9.5,17090000
Acer,i5,2.4,4.2,NVIDIA MX,DDR4,8,,512,15.6,1920 x 1200,HD,0,Nhựa,Windows,Stereo,5,Wi-Fi 5,1.7,19.9,238.4,363.4,2021,0,0,0,0,0,0,0,0,12,9.5,16240000
Acer,i3,3,4.1,Intel,DDR4,4,2666,256,14,1920 x 1080,HD,0,Nhựa,Windows,TrueHarmony,5.1,Wi-Fi 6,1.46,17.95,223,328,2020,0,0,0,0,0,0,0,1,12,5.5,10640000
Acer,R5,2.1,4,NVIDIA GTX,DDR4,8,3200,256,15.6,1920 x 1080,HD,0,Nhựa,Windows,TrueHarmony,5,Wi-Fi 6,2.1,22.9,254.5,363.4,2021,1,0,0,0,0,0,0,1,12,7.5,16370000
Acer,i5,2.4,4.1,NVIDIA GTX,DDR4,8,2666,512,15.6,1920 x 1080,HD,0,Nhựa,Windows,TrueHarmony,5,Wi-Fi 6,2.1,20.9,254.5,363.4,2020,1,0,0,0,0,0,0,1,12,6,17420000
Acer,i3,1.2,3.4,Intel,DDR4,4,2400,256,15.6,1920 x 1080,VGA,0,Nhựa,Windows,Stereo,5,Wi-Fi 5,1.7,19.9,247.5,363.4,2020,0,0,0,0,0,1,0,0,12,3,8850000
Acer,i5,1.6,3.9,Intel,DDR4,4,2666,1024,14,720 x 1280,HD,1,Nhựa,Windows,Stereo,4.2,Wi-Fi 5,1.9,22.2,251,343,2018,0,0,0,0,0,0,0,0,12,3.5,11200000
