Giá đã qua sử dụng,Tên,Giá mới,Công nghệ CPU,Loại CPU,Tốc độ CPU,Tốc độ tối đa,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Kích thước màn hình,Độ phân giải,Công nghệ màn hình,Màn hình cảm ứng,Thiết kế card,Card đồ họa,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Ổ đĩa quang,Webcam,Tính năng khác,Đèn bàn phím,Loại PIN,Model Adapter,Thông tin Pin,Hệ điều hành,Kích thước,Trọng lượng,Chất liệu,Thời điểm ra mắt
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.920.000₫,HP Probook 430 G6 i5 8265U/4GB/256GB/Win10 (6UX78PA),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.800.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.640.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.150.000₫,Lenovo IdeaPad Slim 3 14IIL05 i7 1065G7/8GB/512GB/Win10 (81WD0040VN),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.680.000₫,Acer Aspire 3 A315 58 50YY i5 1135G7/8GB/512GB/Win10 (NX.AM0SV.004),Giá máy mới: 16.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.680.000₫,Acer Aspire 3 A315 58 50YY i5 1135G7/8GB/512GB/Win10 (NX.AM0SV.004),Giá máy mới: 16.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.570.000₫,Asus VivoBook S530FN i5 8265U/4GB/1TB/2GB MX150/Win10 (BQ128T),Máy mới đã ngừng kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
