Tên,Giá máy mới,Giá máy cũ,CPU,RAM,Tốc độ CPU,Tốc độ tối đa,Loại RAM,Tốc độ Bus RAM,Số nhân,Số luồng,Kích thước màn hình,Ổ cứng,Công nghệ màn hình,Độ phân giải,Công nghệ âm thanh,Card đồ họa,Cổng giao tiếp,WiFi,Bluetooth,Camera,Hệ điều hành,Kích thước,Trọng lượng,Thông tin Pin,Khe đọc thẻ nhớ,Nhà bán,Là máy cũ
Laptop Acer Nitro 5 Gaming AN515 57 5831 i5 11400H/8GB/512GB/6GB RTX3060/144Hz/Win10 (NH.QDGSV.003),31990000,0,Intel Core i5 Tiger Lake - 11400H,8,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Tấm nền IPS
LED Backlit
Acer ComfyView",Full HD (1920 x 1080),Acer TrueHarmony DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX 3060, 6 GB","Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax) ,Bluetooth 5.1,HD webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
Laptop Apple MacBook Pro M1 2020 8GB/256GB,34990000,0,Apple M1,8,,,,,,,13.3,256 GB SSD,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",Retina (2560 x 1600),"3 microphones
Dolby Atmos
Loa kép (2 kênh)",Card tích hợp - 8 nhân GPU,2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),Bluetooth 5.0,HD webcam,Mac OS,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm,1.4,Khoảng 10 tiếng,,Điện máy xanh,0
Laptop Apple MacBook Air M1 2020 8GB/256GB/7-core GPU,28990000,0,Apple M1,8,,,,,,,13.3,256 GB SSD,"400 nits
Công nghệ IPS
LED Backlit
True Tone Technology",Retina (2560 x 1600),"3 microphones
Headphones
Loa kép (2 kênh)",Card tích hợp - 7 nhân GPU,2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),Bluetooth 5.0,720p FaceTime Camera,Mac OS,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm,1.29,Khoảng 10 tiếng,,Điện máy xanh,0
Laptop Apple MacBook Pro M1 2020 16GB/512GB,44990000,0,Apple M1,16,,,,,,,13.3,512 GB SSD,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",Retina (2560 x 1600),"3 microphones
Dolby Atmos
Loa kép (2 kênh)",Card tích hợp - 8 nhân GPU,2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Wi-Fi 6 (802.11ax),Bluetooth 5.0,HD webcam,Mac OS,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm,1.4,Khoảng 10 tiếng,,Điện máy xanh,0
Laptop Acer Nitro 5 Gaming AN515 57 50FT i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win10 (NH.QD8SV.003),26490000,0,Intel Core i5 Tiger Lake - 11400H,16,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,6,12,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Tấm nền IPS
LED Backlit
Acer ComfyView",Full HD (1920 x 1080),Acer TrueHarmony DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax) ,Bluetooth 5.1,HD webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
Laptop HP Envy 13 ba1030TU i7 1165G7/8GB/512GB/Office H&S2019/Win10 (2K0B6PA),30490000,0,Intel Core i7 Tiger Lake - 1165G7,8,2.8,4.7,DDR4 (On board),2933,4,8,13.3,512 GB SSD NVMe PCIe,"400 nits
Tấm nền IPS
Wled-backlit",Full HD (1920 x 1080),Bang & Olufsen audio,Card tích hợp - Intel Iris Xe Graphics,"2 x USB 3.1
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C",Wi-Fi 6 (802.11ax),Bluetooth 5.0,HD webcam,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Dài 306.5 mm - Rộng 194.6 mm - Dày 16.9 mm,1.236,3-cell Li-ion,Micro SD,Điện máy xanh,0
Laptop Asus TUF Gaming FX706HC i5 11400H/8GB/512GB/4GB RTX3050/144Hz/Win10 (HX003T),26690000,0,Intel Core i5 Tiger Lake - 11400H,8,2.7,4.5,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200,6,12,17.3,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"Tấm nền IPS
Chống chói Anti Glare
250 nits",Full HD (1920 x 1080),DTS Audio,"Card rời - NVIDIA GeForce RTX3050, 4 GB","Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Wi-Fi 6 (802.11ax),Bluetooth 5.2,HD webcam,Windows 10 Home SL,Dài 399 mm - Rộng 269 mm - Dày 23.9 mm,2.6,"3-cell Li-ion, 48 Wh",,Điện máy xanh,0
Laptop Asus TUF Gaming FX516PE i7 11370H/8GB/512GB/4GB RTX3050Ti/144Hz/Win10 (HN005T),29490000,0,Intel Core i7 Tiger Lake - 11370H,8,3.3,4.8,DDR4 2 khe (1 khe 8GB onboard + 1 khe trống),3200,4,8,15.6,512 GB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,"Tấm nền IPS
Chống chói Anti Glare
Adaptive-Sync
250 nits",Full HD (1920 x 1080),Stereo speakers DTS X:Ultra Audio,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB","Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)",Wi-Fi 6 (802.11ax) ,Bluetooth 5.1,Không tích hợp,Windows 10 Home SL,Dài 360 mm - Rộng 252 mm - Dày 19.9 mm,2,"4-cell Li-ion, 76 Wh",,Điện máy xanh,0
Laptop Dell Inspiron 7400 i5 1135G7/16GB/512GB/2GB MX350/Win10 (N4I5134W),30090000,0,Intel Core i5 Tiger Lake - 1135G7,16,2.4,4.2,LPDDR4X (On board),4267,4,8,14,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)","100% sRGB
Chống chói Anti Glare
Tấm nền IPS
Độ sáng 300 nits",QHD+ (2560 x 1600),High Definition (HD) Audio,"Card rời - NVIDIA GeForce MX350, 2 GB","2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C",Wi-Fi 6 (802.11ax) ,Bluetooth 5.1,HD webcam,Windows 10 Home SL,Dài 321.7 mm - Rộng 224.5 mm - Dày 16.75 mm,1.35,"4-cell Li-ion, 52 Wh",Micro SD,Điện máy xanh,0
Laptop Acer Nitro 5 Gaming AN515 56 5256 i5 11300H/16GB/512GB/4GB GTX1650/144Hz/Win10 (NH.QBZSV.005),24990000,0,Intel Core i5 Tiger Lake - 11300H,16,3.1,4.4,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200,4,8,15.6,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB)
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB)","Acer ComfyView
LED Backlit
TFT",Full HD (1920 x 1080),DTS X:Ultra Audio,Card rời - NVIDIA GeForce GTX 1650 4 GB,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Wi-Fi 6 (802.11ax) ,Bluetooth 5.1,HD webcam,Windows 10 Home SL,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm,2.2,"4-cell Li-ion, 57 Wh",,Điện máy xanh,0
